Home Team,Away Team,FH Goals,SH Goals,20 Min Score,Goals Scored (20),1+ More Goals By FT (20),2+ More Goals By FT (20),3+ More Goals By FT (20),1+ More Goals By HT (20),30 Min Score,Goals Scored (30),1+ More Goals By FT (30),2+ More Goals By FT (30),3+ More Goals By FT (30),1+ More Goals By HT (30),60 Min Score,Goals Scored (60),1+ More Goals By FT (60),2+ More Goals By FT (60),70 Min Score,Goals Scored (70),1+ More Goals By FT (70),2+ More Goals By FT (70),80 Min Score,Goals Scored (80),1+ More Goals By FT (80)
West Ham,Leeds,3,2,0 - 1,1,1,1,1,1,0 - 1,1,1,1,1,1,2 - 3,5,0,0,2 - 3,5,0,0,2 - 3,5,0
Aston Villa,Man Utd,1,3,0 - 1,1,1,1,1,0,0 - 1,1,1,1,1,0,0 - 1,1,1,1,0 - 2,2,1,1,1 - 2,3,1
Newcastle,Watford,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Norwich,Everton,2,1,2 - 0,2,1,0,0,0,2 - 0,2,1,0,0,0,2 - 1,3,0,0,2 - 1,3,0,0,2 - 1,3,0
Wolves,Southampton,1,3,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,2 - 0,2,1,1,2 - 0,2,1,1,2 - 0,2,1
Man City,Chelsea,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,1 - 0,1,0,0,1 - 0,1,0
Brighton,Crystal Palace,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0 - 1,1,1,0,0 - 1,1,1
West Ham,Norwich,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Southampton,Brentford,3,2,1 - 0,1,1,1,1,1,1 - 1,2,1,1,1,1,3 - 1,4,1,0,4 - 1,5,0,0,4 - 1,5,0
Man Utd,Wolves,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Chelsea,Liverpool,4,0,0 - 1,1,1,1,1,1,0 - 2,2,1,1,0,1,2 - 2,4,0,0,2 - 2,4,0,0,2 - 2,4,0
Brentford,Aston Villa,2,1,0 - 1,1,1,1,0,1,0 - 1,1,1,1,0,1,1 - 1,2,1,0,1 - 1,2,1,0,1 - 1,2,1
Everton,Brighton,2,3,0 - 1,1,1,1,1,1,0 - 2,2,1,1,1,0,1 - 2,3,1,1,1 - 2,3,1,1,2 - 3,5,0
Leeds,Burnley,1,3,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,1 - 1,2,1,1,1 - 1,2,1,1,2 - 1,3,1
Crystal Palace,West Ham,3,2,0 - 0,0,1,1,1,1,0 - 2,2,1,1,1,1,0 - 3,3,1,1,0 - 3,3,1,1,0 - 3,3,1
Watford,Tottenham,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Arsenal,Man City,1,2,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,1 - 1,2,1,0,1 - 1,2,1,0,1 - 1,2,1
Man Utd,Burnley,4,0,1 - 0,1,1,1,1,1,2 - 0,2,1,1,0,1,3 - 1,4,0,0,3 - 1,4,0,0,3 - 1,4,0
Brentford,Man City,1,0,0 - 1,1,0,0,0,0,0 - 1,1,0,0,0,0,0 - 1,1,0,0,0 - 1,1,0,0,0 - 1,1,0
Chelsea,Brighton,1,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,0,0,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Leicester,Liverpool,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Crystal Palace,Norwich,3,0,1 - 0,1,1,1,0,1,1 - 0,1,1,1,0,1,3 - 0,3,0,0,3 - 0,3,0,0,3 - 0,3,0
Southampton,Tottenham,2,0,0 - 0,0,1,1,0,1,1 - 0,1,1,0,0,1,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
